ClientKey,NotaRegelBedrag,NotaJaar,NotaKwartaal,NotaMaand,BuurtCode,BuurtNaam
11,1498.19,2020,Qtr 2,April,BU08260601,Dorst
11,726.04,2020,Qtr 2,February,BU08261307,Dorst
11,461.58,2019,Qtr 2,May,BU08261307,Dorst
11,906.95,2019,Qtr 4,September,BU08260300,Sterrenbuurt
11,539.5,2020,Qtr 1,October,BU08260102,Dorst
11,1491.96,2018,Qtr 1,July,BU08260300,Dorst
11,960.67,2020,Qtr 2,July,BU08260102,Sterrenbuurt
11,2012.64,2019,Qtr 2,November,BU08261300,Sterrenbuurt
11,1788.71,2021,Qtr 4,September,BU08260300,Slotjes-West
11,718.11,2019,Qtr 3,November,BU08260300,Sterrenbuurt
11,2008.57,2020,Qtr 3,November,BU08261300,Buitengebied Dorst-Zuid
11,526.28,2018,Qtr 3,October,BU08260601,Sterrenbuurt
12,2028.6,2021,Qtr 2,April,BU08260601,Dorst
12,2484.12,2020,Qtr 3,September,BU08260601,Slotjes-West
12,1744.49,2021,Qtr 1,May,BU08260601,Vogelbuurt
12,412.17,2021,Qtr 3,March,BU08260102,Dorst
12,2336.3,2019,Qtr 4,August,BU08261307,Vogelbuurt
12,1063.62,2018,Qtr 4,December,BU08260601,Sterrenbuurt
12,2198.21,2019,Qtr 3,September,BU08260601,Dorst
12,2229.67,2020,Qtr 3,October,BU08261300,Sterrenbuurt
12,231.28,2021,Qtr 2,June,BU08261307,Dorst
12,1829.46,2020,Qtr 2,February,BU08261300,Slotjes-West
12,2425.92,2018,Qtr 2,September,BU08260300,Slotjes-West
12,2061.63,2019,Qtr 1,June,BU08261307,Sterrenbuurt
12,878.84,2021,Qtr 3,June,BU08260601,Dorst
12,287.52,2020,Qtr 4,May,BU08260601,Slotjes-West
12,495.0,2019,Qtr 2,December,BU08260601,Slotjes-West
12,2133.86,2019,Qtr 4,June,BU08260601,Slotjes-West
12,510.61,2018,Qtr 1,February,BU08260601,Dorst
12,1502.69,2021,Qtr 3,December,BU08260300,Dorst
12,1558.53,2020,Qtr 4,July,BU08261307,Dorst
12,521.89,2020,Qtr 4,February,BU08261300,Dorst
13,1952.01,2020,Qtr 2,November,BU08260300,Sterrenbuurt
13,966.0,2018,Qtr 4,January,BU08261300,Buitengebied Dorst-Zuid
13,1598.88,2020,Qtr 2,December,BU08261307,Sterrenbuurt
13,1331.82,2020,Qtr 3,January,BU08261300,Dorst
13,771.71,2018,Qtr 4,December,BU08261300,Buitengebied Dorst-Zuid
13,1068.62,2019,Qtr 1,October,BU08261307,Buitengebied Dorst-Zuid
13,1455.56,2020,Qtr 3,March,BU08260102,Slotjes-West
13,142.12,2020,Qtr 2,July,BU08261300,Buitengebied Dorst-Zuid
13,1860.49,2021,Qtr 4,June,BU08261300,Dorst
13,1661.73,2020,Qtr 1,January,BU08261307,Dorst
13,880.71,2018,Qtr 4,February,BU08260300,Buitengebied Dorst-Zuid
13,1797.41,2018,Qtr 4,January,BU08260300,Slotjes-West
13,1861.68,2019,Qtr 2,November,BU08260601,Vogelbuurt
13,777.83,2021,Qtr 1,October,BU08261300,Buitengebied Dorst-Zuid
13,1124.93,2020,Qtr 1,February,BU08260102,Slotjes-West
13,2311.15,2020,Qtr 2,August,BU08260102,Buitengebied Dorst-Zuid
13,205.95,2019,Qtr 2,October,BU08260300,Dorst
13,1837.34,2020,Qtr 4,July,BU08261307,Vogelbuurt
13,2149.31,2019,Qtr 3,July,BU08260102,Sterrenbuurt
13,474.8,2020,Qtr 1,August,BU08260601,Sterrenbuurt
14,138.67,2018,Qtr 4,February,BU08261300,Slotjes-West
14,484.23,2019,Qtr 2,September,BU08260102,Sterrenbuurt
14,2438.83,2021,Qtr 1,May,BU08260601,Buitengebied Dorst-Zuid
14,320.9,2020,Qtr 4,June,BU08261300,Dorst
14,1480.12,2019,Qtr 4,March,BU08260601,Vogelbuurt
14,1059.5,2019,Qtr 2,April,BU08260102,Buitengebied Dorst-Zuid
14,0.55,2021,Qtr 4,May,BU08261300,Dorst
14,1657.53,2018,Qtr 2,June,BU08261300,Vogelbuurt
14,924.27,2020,Qtr 4,August,BU08261300,Vogelbuurt
14,2310.94,2021,Qtr 2,April,BU08261300,Buitengebied Dorst-Zuid
14,756.66,2019,Qtr 1,December,BU08260601,Buitengebied Dorst-Zuid
14,1675.3,2020,Qtr 3,March,BU08260300,Slotjes-West
14,2053.2,2020,Qtr 3,November,BU08261307,Dorst
14,116.95,2018,Qtr 4,January,BU08261300,Vogelbuurt
14,1763.44,2021,Qtr 3,November,BU08260300,Dorst
14,2159.99,2019,Qtr 1,June,BU08260102,Slotjes-West
14,942.92,2020,Qtr 3,January,BU08261300,Dorst
14,817.81,2021,Qtr 3,August,BU08260300,Buitengebied Dorst-Zuid
14,2425.08,2021,Qtr 2,July,BU08261307,Buitengebied Dorst-Zuid
14,1625.77,2019,Qtr 4,May,BU08261300,Dorst
15,678.13,2020,Qtr 2,November,BU08261300,Sterrenbuurt
15,2231.26,2021,Qtr 2,November,BU08260601,Sterrenbuurt
15,297.82,2018,Qtr 2,March,BU08260601,Dorst
15,2205.16,2020,Qtr 3,December,BU08261307,Sterrenbuurt
15,1734.48,2021,Qtr 2,July,BU08260601,Dorst
15,726.54,2020,Qtr 4,May,BU08260300,Vogelbuurt
15,1743.03,2020,Qtr 4,May,BU08261300,Slotjes-West
15,1825.61,2021,Qtr 2,April,BU08260102,Slotjes-West
15,2194.07,2021,Qtr 1,December,BU08260601,Sterrenbuurt
15,486.82,2021,Qtr 1,August,BU08260102,Dorst
15,1647.07,2020,Qtr 2,August,BU08260300,Slotjes-West
15,2075.93,2021,Qtr 1,October,BU08260102,Buitengebied Dorst-Zuid
15,1697.86,2020,Qtr 1,June,BU08260102,Dorst
15,965.61,2020,Qtr 1,September,BU08260300,Buitengebied Dorst-Zuid
15,1999.57,2020,Qtr 1,July,BU08260102,Vogelbuurt
15,635.25,2021,Qtr 4,May,BU08260102,Dorst
15,497.21,2018,Qtr 1,November,BU08260102,Buitengebied Dorst-Zuid
15,1233.11,2020,Qtr 4,April,BU08260300,Sterrenbuurt
15,1492.98,2018,Qtr 3,December,BU08261300,Vogelbuurt
15,1373.79,2019,Qtr 4,November,BU08260601,Slotjes-West
16,652.31,2019,Qtr 4,March,BU08260300,Dorst
16,2091.68,2021,Qtr 3,May,BU08261300,Sterrenbuurt
16,2295.74,2019,Qtr 4,November,BU08261307,Sterrenbuurt
16,1791.81,2021,Qtr 3,June,BU08260601,Slotjes-West
16,2112.42,2019,Qtr 3,January,BU08260300,Slotjes-West
16,1034.38,2018,Qtr 1,July,BU08260601,Vogelbuurt
16,2221.01,2020,Qtr 3,February,BU08261300,Sterrenbuurt
16,2149.43,2019,Qtr 3,September,BU08261307,Slotjes-West
16,724.88,2019,Qtr 2,April,BU08261307,Buitengebied Dorst-Zuid
16,523.09,2018,Qtr 2,September,BU08260300,Vogelbuurt
16,987.34,2021,Qtr 3,February,BU08261300,Vogelbuurt
16,2254.9,2021,Qtr 1,October,BU08260300,Dorst
16,2322.57,2019,Qtr 4,February,BU08260102,Vogelbuurt
16,1514.86,2021,Qtr 1,September,BU08260601,Sterrenbuurt
16,152.39,2018,Qtr 1,February,BU08261307,Vogelbuurt
16,2470.5,2021,Qtr 1,March,BU08260601,Slotjes-West
16,1677.59,2021,Qtr 1,August,BU08260300,Buitengebied Dorst-Zuid
16,966.8,2019,Qtr 3,May,BU08260601,Vogelbuurt
16,381.57,2018,Qtr 2,May,BU08260102,Slotjes-West
16,2361.63,2020,Qtr 3,December,BU08261300,Buitengebied Dorst-Zuid
17,925.63,2021,Qtr 3,November,BU08261307,Slotjes-West
17,1320.58,2021,Qtr 4,October,BU08260300,Slotjes-West
17,2172.63,2019,Qtr 3,February,BU08260102,Buitengebied Dorst-Zuid
17,1466.71,2018,Qtr 1,December,BU08260102,Buitengebied Dorst-Zuid
17,335.64,2021,Qtr 4,February,BU08260102,Sterrenbuurt
17,1326.46,2019,Qtr 4,November,BU08261307,Slotjes-West
17,1424.81,2019,Qtr 1,November,BU08261300,Dorst
17,2209.89,2021,Qtr 4,March,BU08260601,Dorst
17,708.43,2019,Qtr 2,September,BU08261307,Sterrenbuurt
17,2056.55,2020,Qtr 2,September,BU08261300,Vogelbuurt
17,348.39,2018,Qtr 2,August,BU08260102,Dorst
17,1825.81,2021,Qtr 3,July,BU08261300,Slotjes-West
17,900.9,2018,Qtr 3,April,BU08261307,Slotjes-West
17,2106.97,2021,Qtr 1,August,BU08261300,Sterrenbuurt
17,347.37,2019,Qtr 3,November,BU08260601,Sterrenbuurt
17,291.62,2020,Qtr 3,December,BU08261307,Sterrenbuurt
17,1588.29,2020,Qtr 2,June,BU08260601,Vogelbuurt
17,334.67,2020,Qtr 4,July,BU08260102,Slotjes-West
17,856.46,2018,Qtr 1,July,BU08260102,Buitengebied Dorst-Zuid
17,1126.59,2019,Qtr 4,June,BU08260300,Slotjes-West
18,2424.18,2018,Qtr 2,July,BU08260102,Buitengebied Dorst-Zuid
18,305.62,2018,Qtr 1,October,BU08260102,Vogelbuurt
18,1306.45,2021,Qtr 2,December,BU08260300,Vogelbuurt
18,1333.52,2021,Qtr 2,March,BU08261300,Sterrenbuurt
18,1207.65,2018,Qtr 4,June,BU08261300,Slotjes-West
18,1546.65,2018,Qtr 1,January,BU08260102,Vogelbuurt
18,218.14,2020,Qtr 2,February,BU08260300,Vogelbuurt
18,1079.6,2020,Qtr 2,March,BU08260102,Slotjes-West
18,2037.18,2021,Qtr 1,February,BU08261307,Slotjes-West
18,1877.59,2021,Qtr 1,October,BU08261307,Buitengebied Dorst-Zuid
18,657.36,2018,Qtr 3,October,BU08260300,Buitengebied Dorst-Zuid
18,1230.82,2020,Qtr 1,October,BU08261300,Sterrenbuurt
18,2444.22,2021,Qtr 4,February,BU08260102,Slotjes-West
18,1913.85,2018,Qtr 4,December,BU08260601,Dorst
18,620.89,2018,Qtr 3,December,BU08260102,Buitengebied Dorst-Zuid
18,1341.91,2021,Qtr 4,October,BU08261307,Buitengebied Dorst-Zuid
18,1431.53,2020,Qtr 4,September,BU08260300,Vogelbuurt
18,2220.32,2019,Qtr 4,July,BU08261307,Buitengebied Dorst-Zuid
18,1851.55,2019,Qtr 4,January,BU08261300,Dorst
18,2127.75,2020,Qtr 3,March,BU08261300,Vogelbuurt
19,548.47,2019,Qtr 3,July,BU08261300,Dorst
19,1720.8,2020,Qtr 3,October,BU08260601,Sterrenbuurt
19,64.38,2019,Qtr 2,November,BU08260300,Sterrenbuurt
19,623.07,2018,Qtr 3,August,BU08260300,Slotjes-West
19,1364.84,2020,Qtr 1,July,BU08260300,Buitengebied Dorst-Zuid
19,2338.46,2021,Qtr 4,August,BU08261307,Dorst
19,2397.6,2020,Qtr 3,June,BU08260601,Dorst
19,1140.07,2020,Qtr 3,March,BU08260102,Buitengebied Dorst-Zuid
19,2066.53,2020,Qtr 4,October,BU08261307,Vogelbuurt
19,1639.17,2020,Qtr 3,March,BU08260300,Slotjes-West
19,172.11,2020,Qtr 1,October,BU08261300,Slotjes-West
19,43.89,2021,Qtr 1,December,BU08261307,Vogelbuurt
19,2411.41,2019,Qtr 1,April,BU08260601,Buitengebied Dorst-Zuid
19,487.4,2020,Qtr 1,November,BU08261300,Sterrenbuurt
19,2110.41,2018,Qtr 3,September,BU08260102,Vogelbuurt
19,2369.22,2018,Qtr 4,March,BU08260102,Sterrenbuurt
19,1785.29,2021,Qtr 1,August,BU08260102,Slotjes-West
19,1066.96,2020,Qtr 1,June,BU08260102,Buitengebied Dorst-Zuid
19,1057.43,2020,Qtr 3,July,BU08261300,Dorst
19,175.97,2019,Qtr 3,November,BU08260601,Buitengebied Dorst-Zuid
20,1433.57,2020,Qtr 3,March,BU08260300,Vogelbuurt
20,978.56,2021,Qtr 4,October,BU08261307,Buitengebied Dorst-Zuid
20,2299.75,2021,Qtr 4,February,BU08260300,Sterrenbuurt
20,91.13,2021,Qtr 1,January,BU08261307,Dorst
20,2032.35,2020,Qtr 3,October,BU08261300,Slotjes-West
20,1425.43,2018,Qtr 1,February,BU08260300,Vogelbuurt
20,1554.51,2020,Qtr 3,June,BU08260300,Sterrenbuurt
20,2328.63,2018,Qtr 1,July,BU08260601,Dorst
20,490.71,2018,Qtr 1,February,BU08261307,Slotjes-West
20,111.66,2020,Qtr 1,February,BU08260601,Dorst
20,758.3,2021,Qtr 1,December,BU08260601,Slotjes-West
20,1400.19,2020,Qtr 3,October,BU08260300,Vogelbuurt
20,2322.93,2020,Qtr 2,December,BU08260601,Buitengebied Dorst-Zuid
20,1342.53,2020,Qtr 3,April,BU08261300,Buitengebied Dorst-Zuid
20,1976.67,2019,Qtr 2,August,BU08261307,Dorst
20,2052.77,2019,Qtr 4,November,BU08260102,Vogelbuurt
20,2198.64,2020,Qtr 4,February,BU08260300,Slotjes-West
20,2222.57,2019,Qtr 1,May,BU08261307,Sterrenbuurt
20,1352.88,2020,Qtr 2,September,BU08261307,Buitengebied Dorst-Zuid
20,222.82,2018,Qtr 4,February,BU08260102,Sterrenbuurt
21,1848.3,2019,Qtr 2,November,BU08260601,Dorst
21,855.96,2021,Qtr 2,November,BU08261307,Dorst
21,1945.16,2020,Qtr 2,July,BU08260300,Slotjes-West
21,2401.05,2018,Qtr 1,December,BU08260300,Slotjes-West
21,23.89,2019,Qtr 3,July,BU08261300,Slotjes-West
21,2304.47,2020,Qtr 3,March,BU08260102,Buitengebied Dorst-Zuid
21,1529.47,2020,Qtr 3,April,BU08261307,Buitengebied Dorst-Zuid
21,97.21,2021,Qtr 2,March,BU08260102,Dorst
